,📎,Rapide(period),Lente,Positive(transaction),Negative,Total,Benefice
0,❗,5,8,100.0 %,0.0 %,2,0.319 %
1,❗,5,9,100.0 %,0.0 %,2,0.765 %
2,❗,5,10,100.0 %,0.0 %,2,0.765 %
3,❗,5,11,100.0 %,0.0 %,2,-0.262 %
4,❗,5,12,100.0 %,0.0 %,2,-0.181 %
5,❗,5,13,100.0 %,0.0 %,2,-0.892 %
6,❗,5,14,100.0 %,0.0 %,1,-0.451 %
7,❗,5,15,100.0 %,0.0 %,1,-0.451 %
8,❗,5,16,100.0 %,0.0 %,1,-0.253 %
9,❗,5,17,100.0 %,0.0 %,1,-0.492 %
10,❗,5,18,100.0 %,0.0 %,1,-0.492 %
11,❗,5,19,100.0 %,0.0 %,1,-0.992 %
12,❗,5,20,100.0 %,0.0 %,1,-0.174 %
13,❗,6,9,100.0 %,0.0 %,2,0.765 %
14,❗,6,10,100.0 %,0.0 %,2,0.216 %
15,❗,6,11,100.0 %,0.0 %,2,0.39 %
16,❗,6,12,100.0 %,0.0 %,3,-0.525 %
17,❗,6,13,100.0 %,0.0 %,2,-1.377 %
18,❗,6,14,100.0 %,0.0 %,1,-0.451 %
19,❗,6,15,100.0 %,0.0 %,1,-0.716 %
20,❗,6,16,100.0 %,0.0 %,1,-0.518 %
21,❗,6,17,100.0 %,0.0 %,1,-0.492 %
22,❗,6,18,100.0 %,0.0 %,1,-0.992 %
23,❗,6,19,100.0 %,0.0 %,1,-1.071 %
24,❗,6,20,100.0 %,0.0 %,1,-0.611 %
25,❗,7,10,100.0 %,0.0 %,2,0.11 %
26,❗,7,11,100.0 %,0.0 %,2,0.098 %
27,❗,7,12,100.0 %,0.0 %,2,-1.18 %
28,❗,7,13,100.0 %,0.0 %,2,-1.142 %
29,❗,7,14,100.0 %,0.0 %,1,-0.451 %
30,❗,7,15,100.0 %,0.0 %,1,-0.518 %
31,❗,7,16,100.0 %,0.0 %,1,-0.598 %
32,❗,7,17,100.0 %,0.0 %,1,-0.572 %
33,❗,7,18,100.0 %,0.0 %,1,-1.071 %
34,❗,7,19,100.0 %,0.0 %,1,-0.611 %
35,❗,7,20,100.0 %,0.0 %,1,-0.611 %
36,❗,8,11,100.0 %,0.0 %,2,-1.18 %
37,❗,8,12,100.0 %,0.0 %,2,-1.18 %
38,❗,8,13,100.0 %,0.0 %,2,-1.142 %
39,❗,8,14,100.0 %,0.0 %,2,-0.887 %
40,❗,8,15,100.0 %,0.0 %,1,-0.518 %
41,❗,8,16,100.0 %,0.0 %,1,-0.572 %
42,❗,8,17,100.0 %,0.0 %,1,-0.572 %
43,❗,8,18,100.0 %,0.0 %,1,-1.071 %
44,❗,8,19,100.0 %,0.0 %,1,-0.186 %
45,❗,8,20,100.0 %,0.0 %,1,0.254 %
46,❗,9,12,100.0 %,0.0 %,2,-1.052 %
47,❗,9,13,100.0 %,0.0 %,2,-0.887 %
48,❗,9,14,100.0 %,0.0 %,2,-0.954 %
49,❗,9,15,100.0 %,0.0 %,1,-0.518 %
50,❗,9,16,100.0 %,0.0 %,1,-0.572 %
51,❗,9,17,100.0 %,0.0 %,1,-1.071 %
52,❗,9,18,100.0 %,0.0 %,1,-1.071 %
53,❗,9,19,100.0 %,0.0 %,1,-0.186 %
54,❗,9,20,100.0 %,0.0 %,1,-0.4 %
55,❗,10,13,100.0 %,0.0 %,2,-0.979 %
56,❗,10,14,100.0 %,0.0 %,2,-0.979 %
57,❗,10,15,100.0 %,0.0 %,2,-1.536 %
58,❗,10,16,100.0 %,0.0 %,1,-0.572 %
59,❗,10,17,100.0 %,0.0 %,1,-0.648 %
60,❗,10,18,100.0 %,0.0 %,1,-0.186 %
61,❗,10,19,100.0 %,0.0 %,1,-0.186 %
62,❗,10,20,100.0 %,0.0 %,1,-0.4 %
63,❗,11,14,100.0 %,0.0 %,2,-1.615 %
64,❗,11,15,100.0 %,0.0 %,2,-1.73 %
65,❗,11,16,100.0 %,0.0 %,2,-2.685 %
66,❗,11,17,100.0 %,0.0 %,1,-0.648 %
67,❗,11,18,100.0 %,0.0 %,1,-0.186 %
68,❗,11,19,100.0 %,0.0 %,1,-0.4 %
69,❗,11,20,100.0 %,0.0 %,1,-0.4 %
70,❗,12,15,100.0 %,0.0 %,2,-2.685 %
71,❗,12,16,100.0 %,0.0 %,2,-2.635 %
72,❗,12,17,100.0 %,0.0 %,1,-0.186 %
73,❗,12,18,100.0 %,0.0 %,1,-0.837 %
74,❗,12,19,100.0 %,0.0 %,1,-0.4 %
75,❗,12,20,100.0 %,0.0 %,1,-1.048 %
76,❗,13,16,100.0 %,0.0 %,2,-2.182 %
77,❗,13,17,100.0 %,0.0 %,2,-2.41 %
78,❗,13,18,100.0 %,0.0 %,1,-0.4 %
79,❗,13,19,100.0 %,0.0 %,1,0.093 %
80,❗,13,20,100.0 %,0.0 %,1,-0.557 %
81,❗,14,17,100.0 %,0.0 %,2,-3.26 %
82,❗,14,18,100.0 %,0.0 %,2,-2.539 %
83,❗,14,19,100.0 %,0.0 %,1,-0.557 %
84,❗,14,20,100.0 %,0.0 %,1,-0.517 %
85,❗,15,18,100.0 %,0.0 %,2,-3.985 %
86,❗,15,19,100.0 %,0.0 %,1,-0.517 %
87,❗,15,20,100.0 %,0.0 %,1,-0.239 %
88,❗,16,19,100.0 %,0.0 %,1,-0.517 %
89,❗,16,20,100.0 %,0.0 %,1,-0.239 %
90,❗,17,20,100.0 %,0.0 %,1,-0.12 %
